Location,NameHotel,RatingHotel,CountRating,Price,Facilities,Quality,DistanceCenter,Around,Vicinity,Link
Huế,The Sunriver Boutique Hotel Hue,7.5,664,584800,"Hồ bơi ngoài trời, WiFi miễn phí, Xe đưa đón sân bay, Phòng gia đình, Phòng không hút thuốc, Chỗ đậu xe riêng, Dịch vụ phòng",3,0.7,"Cầu, Cafe/quán bar","Di tích, Bảo tàng, Tàu lửa, Sân bay",https://www.booking.com/hotel/vn/riverview.vi.html
Huế,Rosaleen Boutique Hotel,8.5,982,915705,"Hồ bơi ngoài trời, WiFi miễn phí, Xe đưa đón sân bay, Phòng gia đình, Phòng không hút thuốc, Chỗ đỗ xe miễn phí, 2 nhà hàng, Tiện nghi cho khách khuyết tật, Quầy bar, Bữa sáng tốt",4,0.9,"Cầu, Cafe/quán bar","Di tích, Bảo tàng, Tàu lửa, Sân bay",https://www.booking.com/hotel/vn/new-star.vi.html
Huế,Century Riverside Hue,7.5,682,837000,"Hồ bơi ngoài trời, WiFi miễn phí, Xe đưa đón sân bay, Phòng gia đình, Trung tâm Spa & chăm sóc sức khoẻ, Phòng không hút thuốc, Trung tâm thể dục, Chỗ đỗ xe miễn phí, Quầy bar, Bữa sáng tốt",4,0.9,"Cầu, Cafe/quán bar","Di tích, Bảo tàng, Tàu lửa, Sân bay",https://www.booking.com/hotel/vn/century-riverside-hue.vi.html
Huế,Melia Vinpearl Hue,9.2,1623,1558903,"Hồ bơi trong nhà, WiFi miễn phí, Xe đưa đón sân bay, Trung tâm Spa & chăm sóc sức khoẻ, Phòng không hút thuốc, Trung tâm thể dục, Chỗ đậu xe (trong khuôn viên), 2 nhà hàng, Quầy bar, Bữa sáng rất tốt",5,0.45,"Cầu, Cafe/quán bar, Di tích","Di tích, Bảo tàng, Tàu lửa, Sân bay",https://www.booking.com/hotel/vn/melia-vinpearl-hue-hotel.vi.html
Huế,Nam Phương Riverside Villa,9,677,250010,"WiFi miễn phí, Xe đưa đón sân bay, Phòng gia đình, Phòng không hút thuốc, Chỗ đỗ xe miễn phí, 2 nhà hàng, Dịch vụ phòng, Quầy bar",1,1.5,Cafe/quán bar,"Cầu, Di tích, Bảo tàng, Tàu lửa, Sân bay",https://www.booking.com/hotel/vn/nam-phuong-guesthouse-villa.vi.html
Huế,Purple Hue Central Hub,9.2,562,357646,"WiFi miễn phí, Xe đưa đón sân bay, Phòng không hút thuốc, Nhà hàng, Dịch vụ phòng, Quầy bar",0,0.5,"Cầu, Cafe/quán bar","Di tích, Bảo tàng, Tàu lửa, Sân bay",https://www.booking.com/hotel/vn/purple-hue-bnb-central-hub.vi.html
Huế,Thanh Lich Royal Boutique,8.7,1272,1100000,"Hồ bơi trong nhà, WiFi miễn phí, Phòng gia đình, Trung tâm Spa & chăm sóc sức khoẻ, Phòng không hút thuốc, Trung tâm thể dục, Nhà hàng, Dịch vụ phòng, Quầy bar, Bữa sáng tốt",4,0.35,"Bảo tàng, Cầu, Cafe/quán bar","Di tích, Bảo tàng, Tàu lửa, Sân bay",https://www.booking.com/hotel/vn/khach-san-thanh-lich.vi.html
Huế,Le Robinet Homestay,9,555,445500,"WiFi miễn phí, Xe đưa đón sân bay, Phòng gia đình, Phòng không hút thuốc, Chỗ đỗ xe miễn phí, Dịch vụ phòng, Quầy bar, Bữa sáng xuất sắc",2,1.7,"Di tích, Bảo tàng, Cafe/quán bar","Cầu, Di tích, Bảo tàng, Tàu lửa, Sân bay",https://www.booking.com/hotel/vn/le-robinet-homestay.vi.html
Huế,MyFa House,9,573,533500,"WiFi miễn phí, Phòng gia đình, Phòng không hút thuốc, Chỗ đỗ xe miễn phí",3,1.2,"Di tích, Cafe/quán bar","Cầu, Di tích, Bảo tàng, Tàu lửa, Sân bay",https://www.booking.com/hotel/vn/myfa-house.vi.html
Huế,Orchid Hotel,8.9,655,827450,"WiFi miễn phí, Xe đưa đón sân bay, Phòng gia đình, Phòng không hút thuốc, Nhà hàng, Bữa sáng xuất sắc",3,0.9,"Cầu, Cafe/quán bar","Di tích, Bảo tàng, Tàu lửa, Sân bay",https://www.booking.com/hotel/vn/orchids.vi.html
Huế,Hue Nino Hotel,9,1083,533334,"WiFi miễn phí, Xe đưa đón sân bay, Phòng gia đình, Phòng không hút thuốc, Dịch vụ phòng, Bữa sáng tốt",2,0.9,"Cầu, Cafe/quán bar","Bảo tàng, Di tích, Tàu lửa, Sân bay",https://www.booking.com/hotel/vn/hue-nino.vi.html
Huế,Tâm Homestay,9.7,727,475200,"WiFi miễn phí, Xe đưa đón sân bay, Phòng gia đình, Phòng không hút thuốc, Chỗ đỗ xe miễn phí, Dịch vụ phòng, Máy pha trà/cà phê trong tất cả các phòng, Bữa sáng tuyệt vời",4,0.9,"Cầu, Cafe/quán bar","Cầu, Bảo tàng, Di tích, Tàu lửa, Sân bay",https://www.booking.com/hotel/vn/tam-homestay-hue.vi.html
