,Location,NameHotel,RatingHotel,CountRating,Price,Facilities,Quality,DistanceCenter,Around,Vicinity,Link,Price_Category
0,Huế,The Sunriver Boutique Hotel Hue,7.5,664,584800,"Hồ bơi ngoài trời, WiFi miễn phí, Xe đưa đón sân bay, Phòng gia đình, Phòng không hút thuốc, Chỗ đậu xe riêng, Dịch vụ phòng",3,0.7,"Cầu, Cafe/quán bar","Di tích, Bảo tàng, Tàu lửa, Sân bay",https://www.booking.com/hotel/vn/riverview.vi.html,Trung bình
1,Huế,Rosaleen Boutique Hotel,8.5,982,915705,"Hồ bơi ngoài trời, WiFi miễn phí, Xe đưa đón sân bay, Phòng gia đình, Phòng không hút thuốc, Chỗ đỗ xe miễn phí, 2 nhà hàng, Tiện nghi cho khách khuyết tật, Quầy bar, Bữa sáng tốt",4,0.9,"Cầu, Cafe/quán bar","Di tích, Bảo tàng, Tàu lửa, Sân bay",https://www.booking.com/hotel/vn/new-star.vi.html,Trung bình
2,Huế,Century Riverside Hue,7.5,682,837000,"Hồ bơi ngoài trời, WiFi miễn phí, Xe đưa đón sân bay, Phòng gia đình, Trung tâm Spa & chăm sóc sức khoẻ, Phòng không hút thuốc, Trung tâm thể dục, Chỗ đỗ xe miễn phí, Quầy bar, Bữa sáng tốt",4,0.9,"Cầu, Cafe/quán bar","Di tích, Bảo tàng, Tàu lửa, Sân bay",https://www.booking.com/hotel/vn/century-riverside-hue.vi.html,Trung bình
3,Huế,Melia Vinpearl Hue,9.2,1623,1558903,"Hồ bơi trong nhà, WiFi miễn phí, Xe đưa đón sân bay, Trung tâm Spa & chăm sóc sức khoẻ, Phòng không hút thuốc, Trung tâm thể dục, Chỗ đậu xe (trong khuôn viên), 2 nhà hàng, Quầy bar, Bữa sáng rất tốt",5,0.45,"Cầu, Cafe/quán bar, Di tích","Di tích, Bảo tàng, Tàu lửa, Sân bay",https://www.booking.com/hotel/vn/melia-vinpearl-hue-hotel.vi.html,Cao
4,Huế,Nam Phương Riverside Villa,9.0,677,250010,"WiFi miễn phí, Xe đưa đón sân bay, Phòng gia đình, Phòng không hút thuốc, Chỗ đỗ xe miễn phí, 2 nhà hàng, Dịch vụ phòng, Quầy bar",1,1.5,Cafe/quán bar,"Cầu, Di tích, Bảo tàng, Tàu lửa, Sân bay",https://www.booking.com/hotel/vn/nam-phuong-guesthouse-villa.vi.html,Thấp
5,Huế,Purple Hue Central Hub,9.2,562,357646,"WiFi miễn phí, Xe đưa đón sân bay, Phòng không hút thuốc, Nhà hàng, Dịch vụ phòng, Quầy bar",0,0.5,"Cầu, Cafe/quán bar","Di tích, Bảo tàng, Tàu lửa, Sân bay",https://www.booking.com/hotel/vn/purple-hue-bnb-central-hub.vi.html,Thấp
6,Huế,Thanh Lich Royal Boutique,8.7,1272,1100000,"Hồ bơi trong nhà, WiFi miễn phí, Phòng gia đình, Trung tâm Spa & chăm sóc sức khoẻ, Phòng không hút thuốc, Trung tâm thể dục, Nhà hàng, Dịch vụ phòng, Quầy bar, Bữa sáng tốt",4,0.35,"Bảo tàng, Cầu, Cafe/quán bar","Di tích, Bảo tàng, Tàu lửa, Sân bay",https://www.booking.com/hotel/vn/khach-san-thanh-lich.vi.html,Cao
7,Huế,Le Robinet Homestay,9.0,555,445500,"WiFi miễn phí, Xe đưa đón sân bay, Phòng gia đình, Phòng không hút thuốc, Chỗ đỗ xe miễn phí, Dịch vụ phòng, Quầy bar, Bữa sáng xuất sắc",2,1.7,"Di tích, Bảo tàng, Cafe/quán bar","Cầu, Di tích, Bảo tàng, Tàu lửa, Sân bay",https://www.booking.com/hotel/vn/le-robinet-homestay.vi.html,Trung bình
8,Huế,MyFa House,9.0,573,533500,"WiFi miễn phí, Phòng gia đình, Phòng không hút thuốc, Chỗ đỗ xe miễn phí",3,1.2,"Di tích, Cafe/quán bar","Cầu, Di tích, Bảo tàng, Tàu lửa, Sân bay",https://www.booking.com/hotel/vn/myfa-house.vi.html,Trung bình
9,Huế,Orchid Hotel,8.9,655,827450,"WiFi miễn phí, Xe đưa đón sân bay, Phòng gia đình, Phòng không hút thuốc, Nhà hàng, Bữa sáng xuất sắc",3,0.9,"Cầu, Cafe/quán bar","Di tích, Bảo tàng, Tàu lửa, Sân bay",https://www.booking.com/hotel/vn/orchids.vi.html,Trung bình
10,Huế,Hue Nino Hotel,9.0,1083,533334,"WiFi miễn phí, Xe đưa đón sân bay, Phòng gia đình, Phòng không hút thuốc, Dịch vụ phòng, Bữa sáng tốt",2,0.9,"Cầu, Cafe/quán bar","Bảo tàng, Di tích, Tàu lửa, Sân bay",https://www.booking.com/hotel/vn/hue-nino.vi.html,Trung bình
11,Huế,Tâm Homestay,9.7,727,475200,"WiFi miễn phí, Xe đưa đón sân bay, Phòng gia đình, Phòng không hút thuốc, Chỗ đỗ xe miễn phí, Dịch vụ phòng, Máy pha trà/cà phê trong tất cả các phòng, Bữa sáng tuyệt vời",4,0.9,"Cầu, Cafe/quán bar","Cầu, Bảo tàng, Di tích, Tàu lửa, Sân bay",https://www.booking.com/hotel/vn/tam-homestay-hue.vi.html,Trung bình
12,Huế,Hotel La Perle,9.1,786,450000,"WiFi miễn phí, Xe đưa đón sân bay, Phòng gia đình, Phòng không hút thuốc, Dịch vụ phòng, Bữa sáng tuyệt vời",3,1.0,"Cầu, Cafe/quán bar","Cầu, Bảo tàng, Di tích, Tàu lửa, Sân bay",https://www.booking.com/hotel/vn/la-perle.vi.html,Trung bình
13,Huế,White Lotus Hue Hotel,9.0,941,1540443,"Hồ bơi ngoài trời, WiFi miễn phí, Phòng gia đình, Trung tâm Spa & chăm sóc sức khoẻ, Phòng không hút thuốc, Trung tâm thể dục, Chỗ đỗ xe miễn phí, 2 nhà hàng, Quầy bar, Bữa sáng tuyệt hảo",4,0.2,"Cầu, Cafe/quán bar","Bảo tàng, Di tích, Tàu lửa, Sân bay",https://www.booking.com/hotel/vn/white-lotus-amp-convention-center-hue.vi.html,Cao
14,Huế,SOLEIL BOUTIQUE,9.0,671,600000,"WiFi miễn phí, Xe đưa đón sân bay, Phòng gia đình, Phòng không hút thuốc, Chỗ đỗ xe, Bữa sáng rất tốt",3,0.8,"Bảo tàng, Cầu, Di tích, Cafe/quán bar","Di tích, Tàu lửa, Sân bay",https://www.booking.com/hotel/vn/soleil-boutique-thanh-pho-hue.vi.html,Trung bình
15,Huế,Pilgrimage Village Boutique Resort & Spa,9.4,973,2116800,"2 hồ bơi, WiFi miễn phí, Xe đưa đón sân bay, Phòng gia đình, Trung tâm Spa & chăm sóc sức khoẻ, Phòng không hút thuốc, Trung tâm thể dục, 2 nhà hàng, Quầy bar, Bữa sáng tuyệt vời",5,4.2,Cafe/quán bar,"Di tích, Bảo tàng, Tàu lửa, Sân bay",https://www.booking.com/hotel/vn/pilgrimage-village-hue-boutique-resort-spa.vi.html,Cao
16,Huế,Hue Four Seasons Hotel,9.4,662,380000,"Hồ bơi ngoài trời, WiFi miễn phí, Xe đưa đón sân bay, Phòng gia đình, Phòng không hút thuốc, Nhà hàng, Tiện nghi cho khách khuyết tật, Dịch vụ phòng, Bữa sáng rất tốt",0,1.2,"Cầu, Cafe/quán bar","Di tích, Bảo tàng, Tàu lửa, Sân bay",https://www.booking.com/hotel/vn/hue-four-seasons-hue.vi.html,Thấp
17,Huế,Jade Scene Hotel,9.3,1647,1076400,"Hồ bơi ngoài trời, WiFi miễn phí, Xe đưa đón sân bay, Phòng gia đình, Trung tâm Spa & chăm sóc sức khoẻ, Phòng không hút thuốc, Chỗ đỗ xe miễn phí, Dịch vụ phòng, Quầy bar, Bữa sáng rất tốt",3,1.1,"Cầu, Cafe/quán bar","Cầu, Bảo tàng, Di tích, Tàu lửa, Sân bay",https://www.booking.com/hotel/vn/jade-scene.vi.html,Cao
18,Huế,Sunny A Hotel,8.8,836,270000,"WiFi miễn phí, Xe đưa đón sân bay, Phòng gia đình, Phòng không hút thuốc, Chỗ đỗ xe miễn phí, Dịch vụ phòng",2,0.35,"Cầu, Cafe/quán bar","Di tích, Bảo tàng, Tàu lửa, Sân bay",https://www.booking.com/hotel/vn/sunny-hue.vi.html,Thấp
19,Huế,Hue Sweethouse 1 Homestay,8.9,843,466000,"WiFi nhanh miễn phí , Xe đưa đón sân bay, Phòng gia đình, Phòng không hút thuốc, Dịch vụ phòng, Bữa sáng tuyệt vời",0,0.35,"Cầu, Cafe/quán bar","Di tích, Bảo tàng, Tàu lửa, Sân bay",https://www.booking.com/hotel/vn/hue-sweethouse-homestay-thanh-pho-hue.vi.html,Trung bình
